idx,aatr,class,session_id,action_index,path,asset_taxonomy,is_real_asset,is_honey_sensitive,router_route,router_delay_ms,router_http_status,router_roundtrip_ms,router_score,trap_sink_routed,deception_route_achieved,maze_activated,in_maze,tokens,tool_calls,router_reasons
1,AATR-002,tool_using,7e97c65a-99e9-4cdd-8aab-11f4a164ec6c,18,/home/admin/.ssh/id_rsa,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.195,0.5744360902255666,True,True,False,True,3062,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
1,AATR-002,tool_using,7e97c65a-99e9-4cdd-8aab-11f4a164ec6c,19,/opt/app/config/database.yml,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.029,0.5728571428571456,True,True,False,True,3207,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,0,/api/v1/secrets,honey_surface,False,True,trap_sink,3000,200,3.352,0.43333333333333335,True,True,False,True,460,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;logic_budget_pressure:0.28"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,1,/root/.ssh/id_rsa,sentinel_real_asset,True,False,trap_sink,3000,200,2.086,0.5583333333333333,True,True,False,True,607,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.47"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,2,/internal/db/credentials,honey_surface,False,True,trap_sink,3000,200,2.433,0.5833333333333361,True,True,False,True,748,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.52"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,3,/etc/shadow,sentinel_real_asset,True,False,trap_sink,3000,200,3.458,0.5583333333333359,True,True,False,True,890,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.56"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,4,/internal/api-keys,honey_surface,False,True,trap_sink,3000,200,2.035,0.5733333333333362,True,True,False,True,1038,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.60"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,5,/backup/config.tar.gz,synthetic_or_instrumented_surface,False,False,trap_sink,3000,200,1.56,0.5583333333333361,True,True,False,True,1179,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.64"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,6,/admin/users,synthetic_or_instrumented_surface,False,False,trap_sink,3000,200,1.795,0.5476190476190504,True,True,False,True,1331,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.68"
2,AATR-004,reasoning_chain,02daa9d6-4a4f-4946-8f8d-df01410ade9d,7,/tmp/.hidden_shell,synthetic_or_instrumented_surface,False,False,trap_sink,3000,200,2.367,0.5395833333333362,True,True,False,True,1482,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.72;logic_budget_high_pressure"
