captured_at,phase,metatron_heartbeat_ok,metatron_heartbeat_ts,quorum_epoch,quorum_state,quorum_votes,compromised_nodes_count,isolated_nodes_count,ledger_entries
2026-05-18T12:21:16.921154+00:00,phase0_baseline_lawful,True,2026-05-18T12:21:16.842199+00:00,1,lawful,0,0,0,0
2026-05-18T12:21:17.213887+00:00,phase1_seed_partial_compromise,True,2026-05-18T12:21:17.167662+00:00,1,strained,0,1,0,1
2026-05-18T12:21:18.056854+00:00,phase2_isolation_enforced,True,2026-05-18T12:21:17.999191+00:00,1,strained,0,1,1,2
2026-05-18T12:21:23.962678+00:00,phase3_bad_quorum_vote_rejected,True,2026-05-18T12:21:23.898805+00:00,1,strained,0,1,1,3
2026-05-18T12:21:24.032698+00:00,phase4_bad_witness_rejected,True,2026-05-18T12:21:23.996860+00:00,1,strained,0,1,1,4
2026-05-18T12:21:25.186885+00:00,phase5_lawful_rejoin_complete,True,2026-05-18T12:21:25.131342+00:00,1,lawful,0,0,0,5
